"time","sales_profitmargin","store","type","store_age","period","device","insurance","accessory","undeclared","region_name","store_label"
1,29.795280456543,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,10.8815536499023,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,2.73725652694702,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,6.36893320083618,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,17.6417083740234,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,-3.8908052444458,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,3.70829129219055,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,17.1137313842773,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,21.7649765014648,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,8.48990440368652,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,-4.71601581573486,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,9.86648845672607,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,31.437650680542,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,36.6568832397461,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,12.0470428466797,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
0,14.5144472122192,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,17.5498199462891,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
0,-0.39027214050293,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
1,15.9091329574585,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,0.964696884155273,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,16.262393951416,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,10.8331060409546,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,22.5849761962891,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,4.47289752960205,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,27.1187744140625,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,23.9238185882568,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,14.8440284729004,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,15.869927406311,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,25.5744667053223,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
0,12.618992805481,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,7.95514011383057,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,25.0251426696777,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,23.6880722045898,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,40.0034141540527,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,18.9470748901367,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,22.8321437835693,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,16.3767986297607,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,-7.05718517303467,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,12.773265838623,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
0,3.39044237136841,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
0,16.2579212188721,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,5.76368522644043,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,50.5994033813477,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,0.227096557617188,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
1,15.9586057662964,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,33.9721565246582,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,14.6043043136597,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
1,12.0087881088257,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,14.2503433227539,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
0,17.3009662628174,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,19.6655864715576,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,20.0898685455322,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,32.8198394775391,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,15.0182828903198,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,29.1641788482666,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,52.6216201782227,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,8.33465766906738,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
0,14.4950428009033,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,19.5220317840576,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
0,-1.77051973342896,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,24.1893863677979,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,25.9692573547363,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,-10.1765298843384,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,33.9531402587891,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,26.038667678833,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
1,20.8330192565918,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,10.0605916976929,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,8.48760604858398,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,20.9735584259033,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,47.6650848388672,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,1.10418319702148,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,18.7904052734375,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,30.2148094177246,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,13.5263423919678,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,27.3981399536133,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,20.5955066680908,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,20.3975868225098,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,0.892165660858154,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
0,22.9142723083496,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
0,1.83250522613525,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,18.5924205780029,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,0.18065357208252,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,14.5066251754761,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,32.3080749511719,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
1,35.6760368347168,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,10.5598917007446,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,14.8789367675781,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,27.9352493286133,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,-1.22767782211304,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
0,28.9280738830566,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
1,22.484619140625,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,12.4422283172607,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
1,47.0446090698242,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,13.5447416305542,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,7.02430486679077,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,28.8508567810059,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,3.50669503211975,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,24.3409252166748,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,23.7520999908447,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,-7.89260959625244,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,6.91843414306641,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,40.9324722290039,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,11.92223072052,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,2.39235591888428,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,27.3350486755371,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
0,12.0625762939453,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
0,8.58627510070801,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,39.0214157104492,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,4.46971893310547,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,17.5068664550781,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,14.0962858200073,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,16.0294895172119,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,39.9983444213867,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
0,11.0760135650635,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,21.7818737030029,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,9.2670316696167,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,16.6635341644287,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,-8.95127487182617,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,22.747896194458,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,-3.7654709815979,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,14.9123916625977,1,".",8,"Before",0,0,0,1,"Town Centre","Store 1"
1,8.45204925537109,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,23.7676734924316,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,35.0039596557617,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
1,12.4906339645386,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,8.04465675354004,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,18.2080154418945,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
1,8.31804656982422,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,15.4803953170776,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,39.2065124511719,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,15.8453321456909,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
1,19.9487323760986,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,35.0705413818359,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,9.67580413818359,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
0,6.78835344314575,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
1,29.2290191650391,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,18.7454471588135,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,19.8233394622803,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,20.1437129974365,1,"electronic device",8,"After",1,0,0,0,"Town Centre","Store 1"
1,13.6185855865479,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
0,21.2571754455566,1,"insurance + device",8,"Before",0,1,0,0,"Town Centre","Store 1"
0,20.4597587585449,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,24.7321739196777,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,15.6313533782959,1,"accessory",8,"Before",0,0,1,0,"Town Centre","Store 1"
1,32.672004699707,1,"insurance + device",8,"After",0,1,0,0,"Town Centre","Store 1"
0,20.1497116088867,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
1,19.3203220367432,1,"accessory",8,"After",0,0,1,0,"Town Centre","Store 1"
1,0.657882213592529,1,".",8,"After",0,0,0,1,"Town Centre","Store 1"
0,38.0620498657227,1,"electronic device",8,"Before",1,0,0,0,"Town Centre","Store 1"
0,3.79372501373291,2,"electronic device",4,"Before",1,0,0,0,"Shopping Mall","Store 2"
1,5.59710073471069,2,"insurance + device",4,"After",0,1,0,0,"Shopping Mall","Store 2"
1,23.3878898620605,2,"electronic device",4,"After",1,0,0,0,"Shopping Mall","Store 2"
1,40.2262382507324,2,"insurance + device",4,"After",0,1,0,0,"Shopping Mall","Store 2"
1,29.9912910461426,2,"insurance + device",4,"After",0,1,0,0,"Shopping Mall","Store 2"
0,25.365966796875,2,"electronic device",4,"Before",1,0,0,0,"Shopping Mall","Store 2"
0,-5.16602897644043,2,"insurance + device",4,"Before",0,1,0,0,"Shopping Mall","Store 2"
0,4.62547731399536,2,"electronic device",4,"Before",1,0,0,0,"Shopping Mall","Store 2"
0,21.3587379455566,2,"insurance + device",4,"Before",0,1,0,0,"Shopping Mall","Store 2"
1,37.6076812744141,2,"insurance + device",4,"After",0,1,0,0,"Shopping Mall","Store 2"
1,33.4062461853027,2,"accessory",4,"After",0,0,1,0,"Shopping Mall","Store 2"
1,17.5641899108887,2,"electronic device",4,"After",1,0,0,0,"Shopping Mall","Store 2"
